age,job,contact,duration,y
33.0,blue-collar,telephone,18.0,0
63.0,retired,cellular,317.0,0
38.0,admin.,cellular,67.0,0
34.0,admin.,cellular,492.0,0
34.0,services,telephone,212.0,0
47.0,management,telephone,267.0,0
27.0,blue-collar,telephone,185.0,0
24.0,admin.,cellular,744.0,1
36.0,blue-collar,cellular,499.0,0
29.0,services,telephone,123.0,0
58.0,retired,telephone,198.0,0
40.0,technician,cellular,156.0,0
31.0,admin.,cellular,98.0,0
60.0,retired,cellular,332.0,0
58.0,housemaid,telephone,35.0,0
32.0,blue-collar,cellular,124.0,0
54.0,admin.,telephone,213.0,0
43.0,technician,cellular,145.0,0
48.0,retired,telephone,145.0,0
33.0,admin.,cellular,195.0,0
37.0,blue-collar,telephone,179.0,0
35.0,services,telephone,184.0,0
34.0,services,telephone,285.0,0
30.0,technician,cellular,31.0,0
38.0,admin.,telephone,306.0,0
29.0,technician,cellular,14.0,0
49.0,entrepreneur,cellular,334.0,0
48.0,management,cellular,117.0,0
33.0,management,cellular,155.0,0
33.0,admin.,telephone,117.0,0
42.0,management,telephone,206.0,0
39.0,admin.,telephone,102.0,0
55.0,entrepreneur,cellular,157.0,0
46.0,management,telephone,311.0,0
55.0,blue-collar,telephone,115.0,0
42.0,entrepreneur,cellular,58.0,0
24.0,student,cellular,290.0,0
49.0,blue-collar,cellular,114.0,0
38.0,admin.,cellular,311.0,0
34.0,admin.,cellular,146.0,0
46.0,blue-collar,cellular,111.0,0
45.0,technician,cellular,360.0,0
40.0,admin.,cellular,106.0,0
46.0,admin.,telephone,423.0,0
31.0,blue-collar,telephone,350.0,0
57.0,self-employed,telephone,122.0,0
36.0,admin.,cellular,91.0,0
50.0,technician,cellular,319.0,0
32.0,admin.,cellular,120.0,0
38.0,admin.,cellular,82.0,0
50.0,admin.,cellular,801.0,0
42.0,blue-collar,telephone,168.0,0
31.0,technician,cellular,409.0,0
27.0,unemployed,cellular,120.0,0
44.0,self-employed,telephone,123.0,0
26.0,housemaid,telephone,127.0,0
30.0,blue-collar,cellular,340.0,0
39.0,self-employed,cellular,169.0,0
64.0,retired,cellular,252.0,1
36.0,management,cellular,331.0,1
42.0,blue-collar,telephone,191.0,0
42.0,services,cellular,122.0,0
40.0,admin.,cellular,1776.0,0
34.0,services,cellular,362.0,0
31.0,blue-collar,telephone,237.0,0
49.0,admin.,telephone,201.0,0
35.0,unemployed,cellular,169.0,0
60.0,admin.,telephone,213.0,0
38.0,admin.,cellular,271.0,0
32.0,management,cellular,125.0,0
50.0,self-employed,cellular,673.0,1
41.0,admin.,cellular,961.0,1
45.0,admin.,telephone,215.0,0
46.0,blue-collar,telephone,179.0,0
55.0,unknown,telephone,336.0,0
33.0,technician,telephone,44.0,0
45.0,blue-collar,telephone,223.0,0
29.0,blue-collar,cellular,66.0,0
42.0,technician,cellular,252.0,0
39.0,housemaid,telephone,167.0,0
58.0,blue-collar,cellular,180.0,0
32.0,management,cellular,123.0,0
44.0,technician,cellular,18.0,0
49.0,self-employed,telephone,374.0,0
29.0,blue-collar,cellular,108.0,0
51.0,management,telephone,16.0,0
36.0,admin.,cellular,45.0,0
23.0,management,cellular,122.0,1
31.0,management,cellular,72.0,0
32.0,technician,cellular,107.0,0
58.0,self-employed,telephone,197.0,0
31.0,services,cellular,21.0,0
32.0,blue-collar,cellular,160.0,0
43.0,unemployed,cellular,319.0,0
48.0,admin.,telephone,427.0,0
28.0,admin.,cellular,270.0,0
52.0,services,telephone,7.0,0
36.0,management,telephone,22.0,0
39.0,admin.,cellular,433.0,0
39.0,blue-collar,telephone,49.0,0
50.0,management,telephone,258.0,0
29.0,admin.,cellular,190.0,0
49.0,technician,cellular,130.0,0
36.0,blue-collar,cellular,130.0,0
29.0,blue-collar,cellular,182.0,0
27.0,entrepreneur,telephone,259.0,0
31.0,blue-collar,cellular,124.0,0
43.0,management,cellular,40.0,0
32.0,blue-collar,cellular,366.0,0
45.0,blue-collar,cellular,399.0,0
56.0,blue-collar,telephone,133.0,0
38.0,admin.,telephone,23.0,0
35.0,blue-collar,telephone,170.0,0
30.0,admin.,cellular,83.0,0
46.0,management,cellular,79.0,0
43.0,blue-collar,cellular,93.0,0
38.0,technician,telephone,257.0,0
52.0,retired,telephone,188.0,0
30.0,technician,cellular,131.0,0
31.0,unemployed,cellular,111.0,0
31.0,blue-collar,cellular,73.0,0
24.0,technician,cellular,175.0,0
34.0,admin.,cellular,439.0,0
48.0,admin.,cellular,262.0,0
30.0,admin.,cellular,136.0,0
23.0,blue-collar,cellular,150.0,0
20.0,entrepreneur,telephone,598.0,0
43.0,admin.,cellular,96.0,0
26.0,services,cellular,298.0,0
58.0,unemployed,telephone,170.0,0
26.0,admin.,cellular,104.0,0
35.0,admin.,telephone,213.0,0
35.0,admin.,cellular,356.0,0
59.0,admin.,cellular,206.0,1
54.0,blue-collar,telephone,102.0,0
37.0,blue-collar,cellular,346.0,0
46.0,technician,telephone,53.0,0
52.0,services,cellular,81.0,0
52.0,management,cellular,67.0,0
32.0,student,cellular,209.0,0
33.0,services,telephone,202.0,0
33.0,technician,cellular,247.0,0
42.0,technician,telephone,230.0,0
38.0,blue-collar,telephone,451.0,0
43.0,blue-collar,telephone,190.0,0
49.0,admin.,telephone,24.0,0
30.0,blue-collar,telephone,107.0,0
37.0,technician,cellular,54.0,0
47.0,blue-collar,cellular,86.0,0
32.0,blue-collar,telephone,111.0,0
32.0,unemployed,cellular,47.0,0
35.0,services,cellular,215.0,0
36.0,management,cellular,423.0,0
41.0,blue-collar,cellular,233.0,0
48.0,blue-collar,telephone,67.0,0
43.0,technician,cellular,1389.0,0
57.0,technician,telephone,50.0,0
28.0,entrepreneur,cellular,774.0,0
30.0,services,telephone,454.0,0
27.0,student,cellular,64.0,0
44.0,blue-collar,telephone,212.0,0
43.0,services,telephone,110.0,0
28.0,technician,cellular,23.0,0
34.0,blue-collar,cellular,169.0,0
32.0,services,telephone,251.0,0
30.0,admin.,cellular,353.0,0
45.0,admin.,cellular,508.0,0
49.0,blue-collar,telephone,410.0,0
45.0,blue-collar,telephone,89.0,0
56.0,technician,telephone,52.0,0
48.0,admin.,cellular,118.0,1
42.0,unemployed,cellular,154.0,0
51.0,management,telephone,409.0,0
54.0,blue-collar,cellular,258.0,1
40.0,admin.,cellular,335.0,0
47.0,blue-collar,telephone,54.0,0
29.0,technician,cellular,896.0,0
37.0,admin.,cellular,412.0,1
35.0,technician,telephone,24.0,0
54.0,technician,cellular,149.0,0
45.0,unknown,cellular,254.0,0
35.0,admin.,cellular,564.0,0
37.0,blue-collar,cellular,185.0,0
38.0,management,telephone,1000.0,1
33.0,blue-collar,telephone,88.0,0
31.0,blue-collar,telephone,166.0,0
34.0,admin.,telephone,134.0,0
51.0,blue-collar,cellular,131.0,0
38.0,blue-collar,cellular,118.0,0
25.0,admin.,cellular,81.0,0
35.0,technician,cellular,75.0,0
55.0,self-employed,cellular,123.0,0
37.0,admin.,telephone,313.0,0
31.0,technician,cellular,124.0,0
36.0,services,telephone,262.0,0
59.0,retired,telephone,571.0,0
37.0,blue-collar,telephone,131.0,0
74.0,retired,telephone,88.0,0
44.0,technician,telephone,388.0,0
29.0,technician,cellular,157.0,0
32.0,services,cellular,111.0,0
45.0,services,cellular,325.0,0
49.0,blue-collar,telephone,112.0,0
25.0,services,telephone,662.0,0
34.0,blue-collar,cellular,246.0,0
37.0,technician,cellular,115.0,0
48.0,technician,cellular,159.0,0
52.0,services,telephone,575.0,0
30.0,technician,cellular,216.0,0
57.0,retired,cellular,342.0,0
38.0,blue-collar,cellular,117.0,0
31.0,blue-collar,cellular,145.0,0
40.0,technician,telephone,168.0,0
38.0,services,telephone,506.0,0
33.0,management,telephone,261.0,0
28.0,admin.,cellular,387.0,0
33.0,technician,cellular,417.0,0
58.0,retired,cellular,81.0,0
30.0,self-employed,cellular,98.0,0
42.0,self-employed,cellular,160.0,0
35.0,technician,cellular,363.0,1
41.0,housemaid,cellular,440.0,0
31.0,self-employed,cellular,906.0,0
40.0,admin.,telephone,167.0,0
80.0,retired,cellular,242.0,1
47.0,blue-collar,cellular,439.0,1
39.0,housemaid,cellular,76.0,0
30.0,technician,cellular,65.0,0
33.0,blue-collar,telephone,233.0,0
50.0,management,telephone,136.0,0
33.0,blue-collar,cellular,656.0,1
40.0,technician,cellular,323.0,0
40.0,retired,cellular,1689.0,1
30.0,blue-collar,telephone,185.0,0
23.0,management,cellular,134.0,0
28.0,blue-collar,cellular,182.0,0
41.0,self-employed,cellular,1135.0,1
26.0,student,telephone,449.0,1
45.0,admin.,cellular,216.0,0
28.0,admin.,cellular,324.0,0
32.0,technician,cellular,198.0,0
32.0,management,cellular,157.0,0
56.0,entrepreneur,telephone,311.0,0
45.0,admin.,cellular,575.0,0
29.0,technician,telephone,11.0,0
33.0,technician,cellular,182.0,0
37.0,blue-collar,telephone,94.0,0
51.0,technician,cellular,272.0,0
32.0,blue-collar,telephone,31.0,0
36.0,blue-collar,cellular,245.0,0
36.0,blue-collar,telephone,179.0,0
32.0,technician,telephone,805.0,0
51.0,technician,telephone,147.0,0
25.0,blue-collar,telephone,71.0,0
39.0,entrepreneur,cellular,120.0,0
33.0,blue-collar,cellular,263.0,0
32.0,technician,cellular,81.0,0
35.0,blue-collar,telephone,180.0,0
41.0,technician,telephone,73.0,0
44.0,admin.,telephone,202.0,0
34.0,management,cellular,163.0,1
27.0,services,telephone,386.0,0
51.0,blue-collar,telephone,139.0,0
42.0,admin.,telephone,42.0,0
61.0,blue-collar,cellular,108.0,0
48.0,unemployed,cellular,315.0,1
54.0,entrepreneur,cellular,159.0,0
35.0,admin.,telephone,19.0,0
48.0,blue-collar,cellular,348.0,0
23.0,technician,telephone,194.0,0
33.0,blue-collar,telephone,1183.0,1
30.0,admin.,cellular,160.0,0
25.0,blue-collar,cellular,338.0,0
44.0,technician,telephone,374.0,0
29.0,technician,telephone,357.0,0
55.0,retired,cellular,106.0,0
24.0,blue-collar,telephone,270.0,0
61.0,admin.,cellular,183.0,0
50.0,technician,cellular,36.0,0
37.0,self-employed,cellular,270.0,0
33.0,housemaid,cellular,110.0,0
48.0,unemployed,cellular,195.0,0
57.0,retired,cellular,27.0,0
33.0,management,cellular,63.0,0
40.0,housemaid,telephone,1449.0,1
30.0,self-employed,cellular,58.0,0
34.0,self-employed,cellular,201.0,1
54.0,management,telephone,106.0,0
31.0,admin.,cellular,170.0,0
31.0,technician,cellular,935.0,1
53.0,unemployed,cellular,67.0,0
43.0,admin.,cellular,670.0,1
36.0,blue-collar,cellular,620.0,0
47.0,admin.,cellular,507.0,0
30.0,technician,cellular,204.0,1
31.0,self-employed,cellular,60.0,0
37.0,services,cellular,348.0,0
27.0,blue-collar,cellular,1508.0,1
46.0,admin.,telephone,354.0,0
41.0,technician,cellular,66.0,0
44.0,blue-collar,telephone,109.0,0
33.0,admin.,cellular,171.0,0
58.0,blue-collar,cellular,186.0,1
34.0,self-employed,cellular,213.0,0
60.0,admin.,telephone,474.0,0
29.0,blue-collar,cellular,441.0,0
26.0,admin.,telephone,463.0,0
31.0,services,telephone,17.0,0
36.0,services,cellular,86.0,0
59.0,blue-collar,cellular,202.0,0
61.0,retired,cellular,216.0,1
30.0,technician,cellular,142.0,0
40.0,retired,telephone,140.0,0
48.0,technician,telephone,700.0,0
47.0,services,cellular,293.0,0
32.0,technician,cellular,402.0,0
31.0,admin.,cellular,126.0,0
33.0,blue-collar,cellular,112.0,0
30.0,services,cellular,263.0,0
49.0,management,cellular,44.0,0
53.0,self-employed,cellular,61.0,0
33.0,admin.,cellular,176.0,0
46.0,services,cellular,6.0,0
45.0,admin.,telephone,695.0,1
31.0,technician,telephone,188.0,0
28.0,blue-collar,cellular,77.0,0
29.0,admin.,cellular,736.0,1
26.0,blue-collar,cellular,56.0,0
20.0,student,cellular,184.0,1
42.0,services,cellular,77.0,0
31.0,blue-collar,cellular,415.0,0
56.0,entrepreneur,cellular,41.0,0
43.0,housemaid,cellular,306.0,0
44.0,management,cellular,292.0,0
30.0,admin.,cellular,362.0,0
31.0,admin.,cellular,123.0,0
53.0,entrepreneur,cellular,107.0,0
50.0,retired,telephone,855.0,0
37.0,unemployed,cellular,34.0,0
43.0,blue-collar,telephone,512.0,0
45.0,admin.,telephone,973.0,1
29.0,admin.,cellular,238.0,1
53.0,services,telephone,429.0,0
34.0,technician,cellular,82.0,0
72.0,retired,cellular,257.0,1
25.0,admin.,cellular,229.0,1
46.0,admin.,telephone,47.0,0
39.0,admin.,cellular,9.0,0
57.0,management,cellular,283.0,0
24.0,admin.,telephone,233.0,0
40.0,blue-collar,telephone,5.0,0
45.0,services,telephone,349.0,0
33.0,entrepreneur,telephone,130.0,0
34.0,blue-collar,telephone,157.0,0
24.0,admin.,cellular,452.0,1
55.0,entrepreneur,cellular,415.0,1
54.0,blue-collar,telephone,34.0,0
32.0,technician,cellular,182.0,0
27.0,student,cellular,219.0,1
45.0,management,cellular,265.0,0
47.0,services,cellular,678.0,0
29.0,services,telephone,189.0,0
42.0,admin.,cellular,115.0,0
28.0,student,cellular,319.0,0
27.0,self-employed,cellular,367.0,0
45.0,admin.,cellular,197.0,0
45.0,entrepreneur,cellular,167.0,0
33.0,management,telephone,125.0,0
36.0,technician,cellular,71.0,0
34.0,technician,telephone,106.0,0
30.0,technician,cellular,360.0,0
33.0,blue-collar,cellular,273.0,0
56.0,blue-collar,telephone,36.0,0
58.0,blue-collar,telephone,326.0,0
52.0,admin.,cellular,157.0,0
52.0,housemaid,cellular,479.0,0
36.0,admin.,cellular,103.0,0
36.0,admin.,cellular,118.0,0
53.0,blue-collar,cellular,144.0,0
52.0,housemaid,cellular,197.0,0
47.0,technician,telephone,69.0,0
37.0,self-employed,telephone,596.0,0
25.0,blue-collar,telephone,113.0,0
32.0,blue-collar,cellular,59.0,0
34.0,admin.,cellular,101.0,0
39.0,admin.,telephone,337.0,0
52.0,technician,telephone,285.0,0
48.0,admin.,telephone,1082.0,0
48.0,entrepreneur,cellular,44.0,0
50.0,blue-collar,telephone,165.0,0
55.0,management,telephone,89.0,0
38.0,blue-collar,cellular,154.0,0
46.0,admin.,cellular,91.0,0
31.0,services,cellular,206.0,0
27.0,technician,cellular,102.0,0
50.0,blue-collar,cellular,166.0,0
52.0,services,telephone,306.0,0
44.0,admin.,telephone,398.0,0
35.0,technician,cellular,577.0,1
47.0,management,telephone,353.0,0
32.0,admin.,cellular,152.0,0
34.0,services,telephone,437.0,0
40.0,admin.,cellular,172.0,0
56.0,services,telephone,166.0,0
48.0,admin.,cellular,321.0,0
42.0,admin.,cellular,163.0,0
48.0,admin.,cellular,309.0,0
39.0,entrepreneur,cellular,244.0,0
46.0,blue-collar,cellular,132.0,0
41.0,technician,telephone,420.0,0
56.0,management,telephone,252.0,0
25.0,admin.,cellular,243.0,1
24.0,blue-collar,cellular,482.0,0
24.0,services,telephone,920.0,0
39.0,technician,cellular,177.0,0
42.0,management,cellular,81.0,0
35.0,technician,cellular,174.0,0
57.0,retired,telephone,53.0,0
29.0,services,cellular,268.0,0
35.0,admin.,cellular,176.0,0
37.0,blue-collar,cellular,724.0,0
42.0,technician,telephone,457.0,0
36.0,services,cellular,89.0,0
41.0,blue-collar,cellular,92.0,0
47.0,blue-collar,cellular,110.0,0
47.0,blue-collar,cellular,729.0,0
44.0,blue-collar,cellular,144.0,0
29.0,services,telephone,87.0,0
58.0,management,cellular,256.0,0
36.0,blue-collar,cellular,279.0,0
30.0,admin.,telephone,256.0,0
46.0,admin.,telephone,74.0,0
30.0,management,cellular,173.0,0
30.0,admin.,telephone,13.0,0
40.0,admin.,telephone,380.0,0
27.0,blue-collar,telephone,444.0,0
50.0,management,cellular,192.0,0
45.0,blue-collar,cellular,636.0,0
52.0,housemaid,cellular,149.0,0
35.0,blue-collar,telephone,83.0,0
41.0,blue-collar,cellular,251.0,0
41.0,admin.,cellular,15.0,0
45.0,admin.,cellular,194.0,0
30.0,services,cellular,70.0,0
62.0,retired,telephone,129.0,0
34.0,blue-collar,cellular,118.0,0
27.0,blue-collar,telephone,350.0,0
33.0,blue-collar,cellular,21.0,0
30.0,blue-collar,cellular,225.0,0
75.0,retired,cellular,233.0,0
31.0,entrepreneur,cellular,112.0,0
34.0,admin.,telephone,232.0,0
29.0,unemployed,cellular,181.0,0
46.0,unemployed,cellular,96.0,0
31.0,blue-collar,cellular,122.0,0
27.0,technician,cellular,258.0,0
32.0,admin.,telephone,131.0,0
45.0,admin.,cellular,582.0,1
31.0,admin.,cellular,59.0,0
25.0,technician,telephone,22.0,0
33.0,blue-collar,cellular,108.0,0
30.0,services,cellular,70.0,0
29.0,unemployed,cellular,112.0,0
26.0,technician,telephone,252.0,0
32.0,admin.,cellular,212.0,0
29.0,technician,cellular,87.0,0
56.0,retired,telephone,394.0,0
52.0,management,telephone,116.0,0
34.0,blue-collar,telephone,61.0,0
45.0,blue-collar,telephone,135.0,0
57.0,technician,cellular,758.0,0
30.0,admin.,cellular,123.0,0
28.0,services,telephone,225.0,0
26.0,technician,telephone,181.0,0
33.0,management,cellular,133.0,0
24.0,services,cellular,349.0,0
33.0,services,telephone,227.0,0
33.0,management,telephone,206.0,0
59.0,admin.,cellular,137.0,0
60.0,admin.,telephone,118.0,0
25.0,student,cellular,959.0,1
43.0,unemployed,telephone,404.0,0
58.0,management,telephone,301.0,0
47.0,technician,cellular,364.0,0
39.0,technician,telephone,15.0,0
59.0,retired,telephone,235.0,0
33.0,admin.,telephone,283.0,0
29.0,technician,cellular,157.0,1
47.0,blue-collar,telephone,352.0,0
24.0,admin.,cellular,102.0,0
37.0,technician,cellular,181.0,0
36.0,admin.,telephone,416.0,0
26.0,admin.,cellular,878.0,1
59.0,entrepreneur,telephone,145.0,0
21.0,student,cellular,551.0,1
32.0,entrepreneur,cellular,240.0,0
37.0,admin.,cellular,463.0,0
47.0,technician,cellular,223.0,0
31.0,blue-collar,cellular,143.0,0
38.0,management,cellular,390.0,0
38.0,unemployed,telephone,597.0,0
29.0,admin.,cellular,87.0,0
47.0,technician,telephone,89.0,0
26.0,admin.,telephone,160.0,0
41.0,admin.,cellular,620.0,0
35.0,technician,cellular,205.0,0
42.0,entrepreneur,telephone,179.0,0
36.0,technician,cellular,209.0,0
39.0,housemaid,cellular,102.0,0
49.0,technician,cellular,188.0,0
38.0,blue-collar,telephone,204.0,0
37.0,blue-collar,cellular,435.0,0
36.0,management,cellular,94.0,0
35.0,management,cellular,296.0,0
47.0,admin.,cellular,653.0,0
33.0,blue-collar,telephone,16.0,0
56.0,management,telephone,218.0,0
31.0,blue-collar,telephone,248.0,0
50.0,management,cellular,299.0,0
46.0,admin.,telephone,165.0,0
38.0,technician,cellular,244.0,0
23.0,blue-collar,cellular,250.0,1
56.0,retired,cellular,202.0,0
43.0,management,telephone,141.0,0
26.0,blue-collar,telephone,251.0,0
37.0,housemaid,cellular,60.0,0
27.0,technician,cellular,72.0,0
39.0,services,telephone,1178.0,0
32.0,technician,cellular,271.0,0
43.0,blue-collar,cellular,247.0,0
33.0,admin.,cellular,289.0,0
39.0,blue-collar,cellular,72.0,0
51.0,management,cellular,249.0,1
47.0,housemaid,cellular,135.0,0
51.0,blue-collar,telephone,159.0,0
36.0,management,cellular,171.0,0
29.0,blue-collar,cellular,481.0,1
61.0,unknown,cellular,154.0,0
36.0,admin.,cellular,197.0,0
30.0,blue-collar,cellular,252.0,1
38.0,blue-collar,cellular,69.0,0
58.0,entrepreneur,telephone,73.0,0
46.0,self-employed,cellular,32.0,0
61.0,retired,cellular,69.0,0
26.0,services,cellular,676.0,0
51.0,blue-collar,telephone,279.0,0
32.0,services,telephone,244.0,0
41.0,entrepreneur,telephone,239.0,0
30.0,management,cellular,106.0,0
34.0,services,cellular,15.0,0
42.0,unknown,cellular,48.0,0
53.0,technician,telephone,51.0,0
33.0,admin.,cellular,145.0,0
35.0,blue-collar,cellular,289.0,0
37.0,blue-collar,telephone,151.0,0
31.0,blue-collar,telephone,253.0,0
30.0,admin.,telephone,294.0,0
41.0,blue-collar,telephone,119.0,0
39.0,housemaid,cellular,417.0,0
50.0,self-employed,cellular,73.0,0
25.0,admin.,cellular,114.0,1
53.0,admin.,cellular,50.0,0
46.0,management,telephone,716.0,0
34.0,blue-collar,telephone,26.0,0
47.0,unknown,telephone,94.0,0
41.0,admin.,cellular,1203.0,1
59.0,retired,cellular,143.0,0
48.0,blue-collar,cellular,9.0,0
48.0,blue-collar,cellular,36.0,0
45.0,admin.,cellular,7.0,0
27.0,admin.,cellular,238.0,1
48.0,entrepreneur,cellular,654.0,0
57.0,entrepreneur,telephone,157.0,0
33.0,admin.,cellular,130.0,0
37.0,management,cellular,158.0,0
31.0,services,telephone,170.0,0
30.0,technician,cellular,722.0,0
53.0,blue-collar,telephone,609.0,0
45.0,blue-collar,cellular,190.0,0
35.0,self-employed,cellular,187.0,0
26.0,admin.,cellular,196.0,1
33.0,management,cellular,113.0,0
35.0,admin.,telephone,280.0,0
35.0,admin.,cellular,65.0,0
26.0,admin.,cellular,76.0,0
42.0,technician,cellular,161.0,0
50.0,blue-collar,cellular,433.0,0
46.0,blue-collar,telephone,152.0,0
32.0,blue-collar,telephone,1025.0,1
45.0,admin.,telephone,290.0,0
54.0,services,cellular,82.0,0
48.0,services,cellular,105.0,0
42.0,services,telephone,24.0,0
36.0,technician,telephone,227.0,0
21.0,student,cellular,97.0,0
23.0,student,cellular,276.0,1
28.0,admin.,cellular,154.0,0
60.0,retired,cellular,590.0,0
36.0,services,cellular,66.0,0
41.0,technician,cellular,307.0,0
55.0,management,cellular,345.0,0
49.0,technician,telephone,158.0,0
30.0,admin.,telephone,121.0,0
32.0,technician,cellular,693.0,1
60.0,retired,cellular,63.0,0
50.0,admin.,telephone,49.0,0
52.0,blue-collar,cellular,234.0,0
36.0,blue-collar,cellular,800.0,0
40.0,management,cellular,253.0,0
39.0,blue-collar,telephone,206.0,0
50.0,blue-collar,cellular,150.0,0
35.0,blue-collar,cellular,180.0,0
34.0,admin.,cellular,182.0,0
32.0,admin.,cellular,46.0,0
48.0,blue-collar,cellular,64.0,0
46.0,technician,telephone,993.0,1
36.0,services,telephone,291.0,0
82.0,retired,cellular,529.0,1
37.0,services,telephone,96.0,0
35.0,admin.,cellular,133.0,0
28.0,admin.,cellular,83.0,0
45.0,admin.,cellular,9.0,0
55.0,admin.,cellular,143.0,0
28.0,admin.,telephone,210.0,0
45.0,blue-collar,cellular,54.0,0
48.0,admin.,cellular,294.0,0
35.0,technician,cellular,259.0,0
77.0,retired,cellular,218.0,1
42.0,admin.,telephone,90.0,1
30.0,services,cellular,366.0,0
30.0,admin.,cellular,234.0,0
35.0,management,cellular,130.0,0
35.0,admin.,cellular,417.0,0
43.0,admin.,cellular,531.0,1
33.0,technician,cellular,922.0,1
30.0,technician,telephone,293.0,0
41.0,admin.,cellular,181.0,0
34.0,technician,telephone,389.0,0
34.0,management,cellular,292.0,0
57.0,admin.,cellular,391.0,1
48.0,admin.,telephone,233.0,0
48.0,blue-collar,cellular,170.0,0
32.0,admin.,cellular,18.0,0
49.0,technician,cellular,253.0,1
32.0,blue-collar,telephone,165.0,0
39.0,technician,telephone,206.0,0
35.0,blue-collar,cellular,169.0,0
33.0,housemaid,cellular,321.0,0
25.0,blue-collar,telephone,247.0,0
37.0,housemaid,cellular,453.0,1
46.0,blue-collar,telephone,107.0,0
36.0,technician,telephone,180.0,0
36.0,admin.,cellular,235.0,0
39.0,housemaid,telephone,935.0,1
26.0,technician,cellular,538.0,0
43.0,technician,telephone,87.0,0
48.0,unknown,cellular,198.0,0
52.0,management,telephone,20.0,0
42.0,admin.,cellular,122.0,0
39.0,technician,cellular,1134.0,1
34.0,technician,cellular,35.0,0
